instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,8,meta-llama/Llama-3.1-8B,12,52,903845068,2314795897,1410950829,9226730,37253709,35223003,"[25906039, 25906039, 25906039, 25906039, 28432770, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 29493425, 26461022, 26461022, 26461022, 26461022, 26461022, 26461022, 30181085, 70544272, 96805577, 51940548, 32697177, 27359985, 27359985, 27359985, 71837469, 118725013, 43620523, 27772733, 27772733, 29580290, 52732370]"
0,11,meta-llama/Llama-3.1-8B,31,68,1379405751,2820840388,1441434637,10840844,40334269,38919454,"[26461022, 26461022, 26461022, 26461022, 26461022, 26461022, 30181085, 70544272, 96805577, 51940548, 32697177, 27359985, 27359985, 27359985, 71837469, 118725013, 43620523, 27772733, 27772733, 29580290, 52732370, 27902876, 31435692, 27961139, 27961139, 31181979, 28365584, 28365584, 31256716, 98834296, 28796581, 28796581, 28796581, 28796581, 28796581, 28796581]"
0,25,meta-llama/Llama-3.1-8B,4,28,2228417547,3026912837,798495290,4065690,33645980,33254317,"[52732370, 27902876, 31435692, 27961139, 27961139, 31181979, 28365584, 28365584, 31256716, 98834296, 28796581, 28796581, 28796581, 28796581, 28796581, 28796581, 28448635, 33640909, 28796581, 28796581, 28796581, 28796581, 28796581]"
0,35,meta-llama/Llama-3.1-8B,1,10,3336021694,4348906046,1012884352,63700408,116624222,112032516,"[29101708, 29101708, 193271281, 198556844, 211803665, 136417790, 66906532, 31100602]"
0,28,meta-llama/Llama-3.1-8B,7,43,2412644520,4410983944,1998339424,17412223,48594202,55707006,"[28365584, 28365584, 31256716, 98834296, 28796581, 28796581, 28796581, 28796581, 28796581, 28796581, 28448635, 33640909, 28796581, 28796581, 28796581, 28796581, 28796581, 28448635, 28448635, 28448635, 28448635, 28448635, 28448635, 202117455, 52923814, 29101708, 29101708, 193271281, 198556844, 211803665, 136417790, 66906532, 31100602, 31038949, 31038949]"
0,48,meta-llama/Llama-3.1-8B,17,22,4209283457,4441963675,232680218,41615455,108521987,31039557,"[31100602, 31038949, 31038949, 30979731]"
0,43,meta-llama/Llama-3.1-8B,1081,1103,3880823975,5066881194,1186057219,21853482,233657147,45352384,"[136417790, 66906532, 31100602, 31038949, 31038949, 30979731, 30788295, 30788295, 30788295, 30788295, 30788295, 121302232, 30973331, 99554315, 31043205, 31043205, 31043205, 31043205, 31043205, 31043205, 32886936]"
0,1,meta-llama/Llama-3.1-8B,19,138,347938951,5222075939,4874136988,22224619,49743264,40884692,"[25165821, 25165821, 25165821, 25165821, 30636509, 25117266, 25117266, 27573421, 93848490, 27696447, 25746831, 25746831, 25746831, 25746831, 29671256, 26039160, 26039160, 28026979, 25906039, 25906039, 25906039, 25906039, 28432770, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 29493425, 26461022, 26461022, 26461022, 26461022, 26461022, 26461022, 30181085, 70544272, 96805577, 51940548, 32697177, 27359985, 27359985, 27359985, 71837469, 118725013, 43620523, 27772733, 27772733, 29580290, 52732370, 27902876, 31435692, 27961139, 27961139, 31181979, 28365584, 28365584, 31256716, 98834296, 28796581, 28796581, 28796581, 28796581, 28796581, 28796581, 28448635, 33640909, 28796581, 28796581, 28796581, 28796581, 28796581, 28448635, 28448635, 28448635, 28448635, 28448635, 28448635, 202117455, 52923814, 29101708, 29101708, 193271281, 198556844, 211803665, 136417790, 66906532, 31100602, 31038949, 31038949, 30979731, 30788295, 30788295, 30788295, 30788295, 30788295, 121302232, 30973331, 99554315, 31043205, 31043205, 31043205, 31043205, 31043205, 31043205, 32886936, 31038949, 31038949, 31038949, 31038949, 31038949]"
0,6,meta-llama/Llama-3.1-8B,21,134,610813767,5350175128,4739361361,89824684,117521131,41266430,"[25746831, 25746831, 25746831, 25746831, 29671256, 26039160, 26039160, 28026979, 25906039, 25906039, 25906039, 25906039, 28432770, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 29493425, 26461022, 26461022, 26461022, 26461022, 26461022, 26461022, 30181085, 70544272, 96805577, 51940548, 32697177, 27359985, 27359985, 27359985, 71837469, 118725013, 43620523, 27772733, 27772733, 29580290, 52732370, 27902876, 31435692, 27961139, 27961139, 31181979, 28365584, 28365584, 31256716, 98834296, 28796581, 28796581, 28796581, 28796581, 28796581, 28796581, 28448635, 33640909, 28796581, 28796581, 28796581, 28796581, 28796581, 28448635, 28448635, 28448635, 28448635, 28448635, 28448635, 202117455, 52923814, 29101708, 29101708, 193271281, 198556844, 211803665, 136417790, 66906532, 31100602, 31038949, 31038949, 30979731, 30788295, 30788295, 30788295, 30788295, 30788295, 121302232, 30973331, 99554315, 31043205, 31043205, 31043205, 31043205, 31043205, 31043205, 32886936, 31038949, 31038949, 31038949, 31038949, 31038949, 30979731, 35041560, 31038949, 31038949]"
0,2,meta-llama/Llama-3.1-8B,91,216,479613520,5614370157,5134756637,18731979,49368488,41011194,"[25117266, 25117266, 27573421, 93848490, 27696447, 25746831, 25746831, 25746831, 25746831, 29671256, 26039160, 26039160, 28026979, 25906039, 25906039, 25906039, 25906039, 28432770, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 26424241, 29493425, 26461022, 26461022, 26461022, 26461022, 26461022, 26461022, 30181085, 70544272, 96805577, 51940548, 32697177, 27359985, 27359985, 27359985, 71837469, 118725013, 43620523, 27772733, 27772733, 29580290, 52732370, 27902876, 31435692, 27961139, 27961139, 31181979, 28365584, 28365584, 31256716, 98834296, 28796581, 28796581, 28796581, 28796581, 28796581, 28796581, 28448635, 33640909, 28796581, 28796581, 28796581, 28796581, 28796581, 28448635, 28448635, 28448635, 28448635, 28448635, 28448635, 202117455, 52923814, 29101708, 29101708, 193271281, 198556844, 211803665, 136417790, 66906532, 31100602, 31038949, 31038949, 30979731, 30788295, 30788295, 30788295, 30788295, 30788295, 121302232, 30973331, 99554315, 31043205, 31043205, 31043205, 31043205, 31043205, 31043205, 32886936, 31038949, 31038949, 31038949, 31038949, 31038949, 30979731, 35041560, 31038949, 31038949, 75786730, 31043205, 31043205, 31043205, 31043205, 31043205, 33192274]"
