instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,8,meta-llama/Llama-3.1-8B,12,52,903845068,3424112409,2520267341,31705154,79207942,62591266,"[45381848, 47660731, 47601295, 45900050, 45900050, 45900050, 45900050, 45900050, 45900050, 48969234, 45936831, 45936831, 45936831, 51814984, 132914942, 111918708, 52172986, 91313278, 138200822, 63087724, 47248542, 72738380, 51184854, 47657595, 50714328, 47918025, 119612178, 48418193, 48418193, 48418193, 48428273, 53691447, 48344806, 48353990, 48353990, 48353990, 48353990, 48353990, 222249097]"
0,25,meta-llama/Llama-3.1-8B,4,28,2228417547,4380129816,2151712269,46131350,118869730,88384458,"[51184854, 47657595, 50714328, 47918025, 119612178, 48418193, 48418193, 48418193, 48428273, 53691447, 48344806, 48353990, 48353990, 48353990, 48353990, 48353990, 222249097, 72264300, 48839352, 212908422, 218586581, 242427406, 160991346]"
0,11,meta-llama/Llama-3.1-8B,31,68,1379405751,4434699728,3055293977,19691433,68660667,82962036,"[45936831, 45936831, 45936831, 51814984, 132914942, 111918708, 52172986, 91313278, 138200822, 63087724, 47248542, 72738380, 51184854, 47657595, 50714328, 47918025, 119612178, 48418193, 48418193, 48418193, 48428273, 53691447, 48344806, 48353990, 48353990, 48353990, 48353990, 48353990, 222249097, 72264300, 48839352, 212908422, 218586581, 242427406, 160991346, 54569912]"
0,35,meta-llama/Llama-3.1-8B,1,10,3336021694,4535852550,1199830856,88090715,160355015,129934480,"[48839352, 212908422, 218586581, 242427406, 160991346, 54569912, 50576411, 50576411]"
0,48,meta-llama/Llama-3.1-8B,17,22,4209283457,4586367308,377083851,9855013,170846359,51559373,"[54569912, 50576411, 50576411, 50514758]"
0,28,meta-llama/Llama-3.1-8B,7,43,2412644520,5308688857,2896044337,33485206,84199534,80338422,"[47918025, 119612178, 48418193, 48418193, 48418193, 48428273, 53691447, 48344806, 48353990, 48353990, 48353990, 48353990, 48353990, 222249097, 72264300, 48839352, 212908422, 218586581, 242427406, 160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104]"
0,43,meta-llama/Llama-3.1-8B,1081,1103,3880823975,5607929761,1727105786,95887089,338314495,66132918,"[160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798]"
0,61,meta-llama/Llama-3.1-8B,347,353,5735930675,6662017924,926087249,227061849,343425975,116532254,"[234093740, 190870005, 52565843, 52565843, 52565843]"
0,34,meta-llama/Llama-3.1-8B,1065,1110,3170788537,7450577039,4279788502,31074775,253323872,91510559,"[72264300, 48839352, 212908422, 218586581, 242427406, 160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563]"
0,42,meta-llama/Llama-3.1-8B,635,686,3640781687,8339217943,4698436256,117342796,335929377,87250137,"[242427406, 160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027]"
0,49,meta-llama/Llama-3.1-8B,73,123,4229722316,8461024277,4231301961,150407500,204977412,82169888,"[50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896]"
0,26,meta-llama/Llama-3.1-8B,192,275,2250691133,9479385442,7228694309,23857764,96596144,86976806,"[51184854, 47657595, 50714328, 47918025, 119612178, 48418193, 48418193, 48418193, 48428273, 53691447, 48344806, 48353990, 48353990, 48353990, 48353990, 48353990, 222249097, 72264300, 48839352, 212908422, 218586581, 242427406, 160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876]"
0,1,meta-llama/Llama-3.1-8B,19,138,347938951,9647315980,9299377029,10337972,57332426,78322411,"[44641630, 44641630, 50112318, 44593075, 113846343, 47336535, 45222640, 45222640, 49147065, 45514969, 47502788, 45381848, 47660731, 47601295, 45900050, 45900050, 45900050, 45900050, 45900050, 45900050, 48969234, 45936831, 45936831, 45936831, 51814984, 132914942, 111918708, 52172986, 91313278, 138200822, 63087724, 47248542, 72738380, 51184854, 47657595, 50714328, 47918025, 119612178, 48418193, 48418193, 48418193, 48428273, 53691447, 48344806, 48353990, 48353990, 48353990, 48353990, 48353990, 222249097, 72264300, 48839352, 212908422, 218586581, 242427406, 160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846]"
0,6,meta-llama/Llama-3.1-8B,21,134,610813767,9647315980,9036502213,92292606,139629141,79436366,"[45222640, 45222640, 49147065, 45514969, 47502788, 45381848, 47660731, 47601295, 45900050, 45900050, 45900050, 45900050, 45900050, 45900050, 48969234, 45936831, 45936831, 45936831, 51814984, 132914942, 111918708, 52172986, 91313278, 138200822, 63087724, 47248542, 72738380, 51184854, 47657595, 50714328, 47918025, 119612178, 48418193, 48418193, 48418193, 48428273, 53691447, 48344806, 48353990, 48353990, 48353990, 48353990, 48353990, 222249097, 72264300, 48839352, 212908422, 218586581, 242427406, 160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846]"
0,90,meta-llama/Llama-3.1-8B,137,149,8437928393,9647315980,1209387587,23095884,142888816,96954433,"[88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846]"
0,36,meta-llama/Llama-3.1-8B,134,205,3372350479,9813815452,6441464973,51761930,124026230,90249124,"[48839352, 212908422, 218586581, 242427406, 160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846, 55499824, 55499824, 55499824]"
