instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,8,meta-llama/Llama-3.1-8B,12,52,903845068,2314728447,1410883379,9197280,37223309,35222053,"[25905089, 25905089, 25905089, 25905089, 28431820, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 29492475, 26460072, 26460072, 26460072, 26460072, 26460072, 26460072, 30180135, 70543322, 96804627, 51939598, 32696227, 27359035, 27359035, 27359035, 71836519, 118724063, 43619573, 27771783, 27771783, 29579340, 52731420]"
0,11,meta-llama/Llama-3.1-8B,31,68,1379405751,2820758688,1441352937,10794294,40286769,38918504,"[26460072, 26460072, 26460072, 26460072, 26460072, 26460072, 30180135, 70543322, 96804627, 51939598, 32696227, 27359035, 27359035, 27359035, 71836519, 118724063, 43619573, 27771783, 27771783, 29579340, 52731420, 27901926, 31434742, 27960189, 27960189, 31181029, 28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631]"
0,25,meta-llama/Llama-3.1-8B,4,28,2228417547,3026824487,798406940,4000140,33579480,33253367,"[52731420, 27901926, 31434742, 27960189, 27960189, 31181029, 28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 33639959, 28795631, 28795631, 28795631, 28795631, 28795631]"
0,35,meta-llama/Llama-3.1-8B,1,10,3336021694,4348802496,1012780802,63605408,116528272,112031566,"[29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652]"
0,28,meta-llama/Llama-3.1-8B,7,43,2412644520,4410878494,1998233974,17340973,48522002,55706056,"[28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 33639959, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 28447685, 28447685, 28447685, 28447685, 28447685, 202116505, 52922864, 29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999]"
0,48,meta-llama/Llama-3.1-8B,17,22,4209283457,4441857275,232573818,41513805,108419387,31038607,"[31099652, 31037999, 31037999, 30978781]"
0,43,meta-llama/Llama-3.1-8B,1081,1103,3880823975,5066760544,1185936569,21753732,233556447,45351434,"[136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986]"
0,1,meta-llama/Llama-3.1-8B,19,138,347938951,5221950539,4874011588,22212269,49729964,40883742,"[25164871, 25164871, 25164871, 25164871, 30635559, 25116316, 25116316, 27572471, 93847540, 27695497, 25745881, 25745881, 25745881, 25745881, 29670306, 26038210, 26038210, 28026029, 25905089, 25905089, 25905089, 25905089, 28431820, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 29492475, 26460072, 26460072, 26460072, 26460072, 26460072, 26460072, 30180135, 70543322, 96804627, 51939598, 32696227, 27359035, 27359035, 27359035, 71836519, 118724063, 43619573, 27771783, 27771783, 29579340, 52731420, 27901926, 31434742, 27960189, 27960189, 31181029, 28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 33639959, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 28447685, 28447685, 28447685, 28447685, 28447685, 202116505, 52922864, 29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999]"
0,6,meta-llama/Llama-3.1-8B,21,134,610813767,5350045928,4739232161,89802834,117498331,41265480,"[25745881, 25745881, 25745881, 25745881, 29670306, 26038210, 26038210, 28026029, 25905089, 25905089, 25905089, 25905089, 28431820, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 29492475, 26460072, 26460072, 26460072, 26460072, 26460072, 26460072, 30180135, 70543322, 96804627, 51939598, 32696227, 27359035, 27359035, 27359035, 71836519, 118724063, 43619573, 27771783, 27771783, 29579340, 52731420, 27901926, 31434742, 27960189, 27960189, 31181029, 28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 33639959, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 28447685, 28447685, 28447685, 28447685, 28447685, 202116505, 52922864, 29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999]"
0,2,meta-llama/Llama-3.1-8B,91,216,479613520,5614234307,5134620787,18714879,49350438,41010244,"[25116316, 25116316, 27572471, 93847540, 27695497, 25745881, 25745881, 25745881, 25745881, 29670306, 26038210, 26038210, 28026029, 25905089, 25905089, 25905089, 25905089, 28431820, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 29492475, 26460072, 26460072, 26460072, 26460072, 26460072, 26460072, 30180135, 70543322, 96804627, 51939598, 32696227, 27359035, 27359035, 27359035, 71836519, 118724063, 43619573, 27771783, 27771783, 29579340, 52731420, 27901926, 31434742, 27960189, 27960189, 31181029, 28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 33639959, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 28447685, 28447685, 28447685, 28447685, 28447685, 202116505, 52922864, 29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324]"
0,34,meta-llama/Llama-3.1-8B,1065,1110,3170788537,5691367378,2520578841,26722060,228838565,52085006,"[52922864, 29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071]"
0,61,meta-llama/Llama-3.1-8B,347,353,5735930675,6532699092,796768417,199408900,295133456,100326992,"[148866363, 147680949, 139684493, 32701578, 32701578]"
0,26,meta-llama/Llama-3.1-8B,192,275,2250691133,6597629556,4346938423,11305894,64037314,52230501,"[27901926, 31434742, 27960189, 27960189, 31181029, 28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 33639959, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 28447685, 28447685, 28447685, 28447685, 28447685, 202116505, 52922864, 29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071, 243972197, 95724556, 148866363, 147680949, 139684493, 32701578, 32701578, 32465232, 32465232]"
0,42,meta-llama/Llama-3.1-8B,635,686,3640781687,6662226022,3021444335,63240126,261796020,55192966,"[211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071, 243972197, 95724556, 148866363, 147680949, 139684493, 32701578, 32701578, 32465232, 32465232, 32298233, 32298233]"
0,49,meta-llama/Llama-3.1-8B,73,123,4229722316,6728384254,2498661938,21074946,87980528,49197579,"[31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071, 243972197, 95724556, 148866363, 147680949, 139684493, 32701578, 32701578, 32465232, 32465232, 32298233, 32298233, 32101302, 34056930]"
0,36,meta-llama/Llama-3.1-8B,134,205,3372350479,7424695496,4052345017,27276623,80199487,56744936,"[29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071, 243972197, 95724556, 148866363, 147680949, 139684493, 32701578, 32701578, 32465232, 32465232, 32298233, 32298233, 32101302, 34056930, 32101302, 32101302, 32101302, 32101302, 64507277, 32695754, 32695754, 32695754, 32695754, 103780220, 166260836, 36481743, 33046471, 33046471]"
0,24,meta-llama/Llama-3.1-8B,161,286,2074623946,8511047204,6436423258,58630602,102250175,51082040,"[27771783, 27771783, 29579340, 52731420, 27901926, 31434742, 27960189, 27960189, 31181029, 28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 33639959, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 28447685, 28447685, 28447685, 28447685, 28447685, 202116505, 52922864, 29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071, 243972197, 95724556, 148866363, 147680949, 139684493, 32701578, 32701578, 32465232, 32465232, 32298233, 32298233, 32101302, 34056930, 32101302, 32101302, 32101302, 32101302, 64507277, 32695754, 32695754, 32695754, 32695754, 103780220, 166260836, 36481743, 33046471, 33046471, 32816821, 35657048, 119678172, 33060764, 33060764, 33060764, 73596521, 35011453, 36928466, 99679071, 175593088, 36563757, 36680970, 35893119, 35893119, 35893119, 35893119, 35893119, 50004698, 75493756]"
0,27,meta-llama/Llama-3.1-8B,34,158,2322894048,8744871871,6421977823,19736325,51171067,51795176,"[27960189, 27960189, 31181029, 28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 33639959, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 28447685, 28447685, 28447685, 28447685, 28447685, 202116505, 52922864, 29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071, 243972197, 95724556, 148866363, 147680949, 139684493, 32701578, 32701578, 32465232, 32465232, 32298233, 32298233, 32101302, 34056930, 32101302, 32101302, 32101302, 32101302, 64507277, 32695754, 32695754, 32695754, 32695754, 103780220, 166260836, 36481743, 33046471, 33046471, 32816821, 35657048, 119678172, 33060764, 33060764, 33060764, 73596521, 35011453, 36928466, 99679071, 175593088, 36563757, 36680970, 35893119, 35893119, 35893119, 35893119, 35893119, 50004698, 75493756, 56433680, 67955188, 36363032, 36363032, 36709735]"
0,21,meta-llama/Llama-3.1-8B,301,436,1933551206,9021506577,7087955371,9142760,80979279,52290866,"[118724063, 43619573, 27771783, 27771783, 29579340, 52731420, 27901926, 31434742, 27960189, 27960189, 31181029, 28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 33639959, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 28447685, 28447685, 28447685, 28447685, 28447685, 202116505, 52922864, 29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071, 243972197, 95724556, 148866363, 147680949, 139684493, 32701578, 32701578, 32465232, 32465232, 32298233, 32298233, 32101302, 34056930, 32101302, 32101302, 32101302, 32101302, 64507277, 32695754, 32695754, 32695754, 32695754, 103780220, 166260836, 36481743, 33046471, 33046471, 32816821, 35657048, 119678172, 33060764, 33060764, 33060764, 73596521, 35011453, 36928466, 99679071, 175593088, 36563757, 36680970, 35893119, 35893119, 35893119, 35893119, 35893119, 50004698, 75493756, 56433680, 67955188, 36363032, 36363032, 36709735, 36363032, 36363032, 203908642]"
0,90,meta-llama/Llama-3.1-8B,137,149,8437928393,9389914742,951986349,73118811,129552491,74766714,"[67955188, 36363032, 36363032, 36709735, 36363032, 36363032, 203908642, 45317025, 36364059, 37239475, 249487606]"
0,46,meta-llama/Llama-3.1-8B,438,537,4056749989,9496117200,5439367211,57630433,194047273,53523672,"[66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071, 243972197, 95724556, 148866363, 147680949, 139684493, 32701578, 32701578, 32465232, 32465232, 32298233, 32298233, 32101302, 34056930, 32101302, 32101302, 32101302, 32101302, 64507277, 32695754, 32695754, 32695754, 32695754, 103780220, 166260836, 36481743, 33046471, 33046471, 32816821, 35657048, 119678172, 33060764, 33060764, 33060764, 73596521, 35011453, 36928466, 99679071, 175593088, 36563757, 36680970, 35893119, 35893119, 35893119, 35893119, 35893119, 50004698, 75493756, 56433680, 67955188, 36363032, 36363032, 36709735, 36363032, 36363032, 203908642, 45317025, 36364059, 37239475, 249487606, 69260541, 36941917]"
0,86,meta-llama/Llama-3.1-8B,24,48,8041570415,9533063068,1491492653,91268013,127831770,59289603,"[36680970, 35893119, 35893119, 35893119, 35893119, 35893119, 50004698, 75493756, 56433680, 67955188, 36363032, 36363032, 36709735, 36363032, 36363032, 203908642, 45317025, 36364059, 37239475, 249487606, 69260541, 36941917, 36945868]"
0,10,meta-llama/Llama-3.1-8B,6,180,1029050004,9678874040,8649824036,15638729,44070549,49744239,"[26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 26423291, 29492475, 26460072, 26460072, 26460072, 26460072, 26460072, 26460072, 30180135, 70543322, 96804627, 51939598, 32696227, 27359035, 27359035, 27359035, 71836519, 118724063, 43619573, 27771783, 27771783, 29579340, 52731420, 27901926, 31434742, 27960189, 27960189, 31181029, 28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 33639959, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 28447685, 28447685, 28447685, 28447685, 28447685, 202116505, 52922864, 29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071, 243972197, 95724556, 148866363, 147680949, 139684493, 32701578, 32701578, 32465232, 32465232, 32298233, 32298233, 32101302, 34056930, 32101302, 32101302, 32101302, 32101302, 64507277, 32695754, 32695754, 32695754, 32695754, 103780220, 166260836, 36481743, 33046471, 33046471, 32816821, 35657048, 119678172, 33060764, 33060764, 33060764, 73596521, 35011453, 36928466, 99679071, 175593088, 36563757, 36680970, 35893119, 35893119, 35893119, 35893119, 35893119, 50004698, 75493756, 56433680, 67955188, 36363032, 36363032, 36709735, 36363032, 36363032, 203908642, 45317025, 36364059, 37239475, 249487606, 69260541, 36941917, 36945868, 36452743, 36452743, 36452743, 36452743]"
0,29,meta-llama/Llama-3.1-8B,16,153,2417400904,9751602158,7334201254,12584589,43765618,53606144,"[28364634, 28364634, 31255766, 98833346, 28795631, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 33639959, 28795631, 28795631, 28795631, 28795631, 28795631, 28447685, 28447685, 28447685, 28447685, 28447685, 28447685, 202116505, 52922864, 29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071, 243972197, 95724556, 148866363, 147680949, 139684493, 32701578, 32701578, 32465232, 32465232, 32298233, 32298233, 32101302, 34056930, 32101302, 32101302, 32101302, 32101302, 64507277, 32695754, 32695754, 32695754, 32695754, 103780220, 166260836, 36481743, 33046471, 33046471, 32816821, 35657048, 119678172, 33060764, 33060764, 33060764, 73596521, 35011453, 36928466, 99679071, 175593088, 36563757, 36680970, 35893119, 35893119, 35893119, 35893119, 35893119, 50004698, 75493756, 56433680, 67955188, 36363032, 36363032, 36709735, 36363032, 36363032, 203908642, 45317025, 36364059, 37239475, 249487606, 69260541, 36941917, 36945868, 36452743, 36452743, 36452743, 36452743, 36364059, 36364059]"
0,37,meta-llama/Llama-3.1-8B,43,156,3382628210,9787962173,6405333963,16998892,69921756,56566180,"[29100758, 29100758, 193270331, 198555894, 211802715, 136416840, 66905582, 31099652, 31037999, 31037999, 30978781, 30787345, 30787345, 30787345, 30787345, 30787345, 121301282, 30972381, 99553365, 31042255, 31042255, 31042255, 31042255, 31042255, 31042255, 32885986, 31037999, 31037999, 31037999, 31037999, 31037999, 30978781, 35040610, 31037999, 31037999, 75785780, 31042255, 31042255, 31042255, 31042255, 31042255, 33191324, 77133071, 243972197, 95724556, 148866363, 147680949, 139684493, 32701578, 32701578, 32465232, 32465232, 32298233, 32298233, 32101302, 34056930, 32101302, 32101302, 32101302, 32101302, 64507277, 32695754, 32695754, 32695754, 32695754, 103780220, 166260836, 36481743, 33046471, 33046471, 32816821, 35657048, 119678172, 33060764, 33060764, 33060764, 73596521, 35011453, 36928466, 99679071, 175593088, 36563757, 36680970, 35893119, 35893119, 35893119, 35893119, 35893119, 50004698, 75493756, 56433680, 67955188, 36363032, 36363032, 36709735, 36363032, 36363032, 203908642, 45317025, 36364059, 37239475, 249487606, 69260541, 36941917, 36945868, 36452743, 36452743, 36452743, 36452743, 36364059, 36364059, 36360015]"
